name,RA_deg,Dec_deg,redshift,source,SDSS_filename,comment,COS_filename1,COS_filename2
J101548.27+404008.7,153.9511341,40.66910177,0.92151,SDSS,spec-1357-53034-0496.fits,n/a,hst_12289_cos_j101548d27p404008d7_cg140l_lbhx_cspec.fits,hst_12289_cos_j101548d27p404008d7_cg140l_lbhx54_cspec.fits
J101557.05+010913.6,153.9877204,1.15381845,0.77951,SDSS,spec-0502-51957-0005.fits,n/a,hst_12289_cos_j101557d05p010913d6_cg140l_lbhx_cspec.fits,hst_12289_cos_j101557d05p010913d6_cg140l_lbhx22_cspec.fits
J102005.99+033308.4,155.0249657,3.552352096,0.93577,SDSS,spec-4802-55652-0379.fits,n/a,hst_12289_cos_j102005d99p033308d4_cg140l_lbhx_cspec.fits,hst_12289_cos_j102005d99p033308d4_cg140l_lbhx48_cspec.fits
J104411.44+015850.5,161.0476346,1.980707248,1.00857,SDSS,spec-0506-52022-0154.fits,,hst_12289_cos_j104411d44p015850d5_cg140l_lbhx_cspec.fits,hst_12289_cos_j104411d44p015850d5_cg140l_lbhx08_cspec.fits
J114343.09+674455.5,175.9295128,67.74874805,0.79432,SDSS,spec-0492-51955-0484.fits,,hst_12289_cos_j114343d09p674455d5_cg140l_lbhx_cspec.fits,hst_12289_cos_j114343d09p674455d5_cg140l_lbhx97_cspec.fits
J115027.26+665848.0,177.6135369,66.98001218,1.0357,SDSS,spec-0492-51955-0115.fits,,hst_12289_cos_j115027d26p665848d0_cg140l_lbhx_cspec.fits,hst_12289_cos_j115027d26p665848d0_cg140l_lbhx76_cspec.fits
J122222.55+041315.7,185.5939525,4.221042189,0.96632,SDSS,spec-4751-55646-0776.fits,,hst_12289_cos_j122222d55p041315d7_cg140l_lbhx_cspec.fits,hst_12289_cos_j122222d55p041315d7_cg140l_lbhx0p_cspec.fits
J130631.63+435100.4,196.6318221,43.8501205,0.7555,SDSS,spec-6621-56366-0274.fits,,hst_12289_cos_j130631d63p435100d4_cg140l_lbhx_cspec.fits,hst_12289_cos_j130631d63p435100d4_cg140l_lbhx1n_cspec.fits
J132652.44+292534.8,201.7185201,29.42635833,1.20674,SDSS,spec-1978-53473-0344.fits,,hst_12289_cos_j132652d44p292534d8_cg140l_lbhx_cspec.fits,hst_12289_cos_j132652d44p292534d8_cg140l_lbhx35_cspec.fits
J132909.25+480109.6,202.2885325,48.01935494,0.92788,SDSS,spec-1282-52759-0014.fits,only prominate line in spectra is for Mg ,hst_12289_cos_j132909d25p480109d6_cg140l_lbhx_cspec.fits,hst_12289_cos_j132909d25p480109d6_cg140l_lbhx15_cspec.fits
J134719.40+590232.8,206.8308529,59.04242767,0.76662,SDSS,spec-0960-52425-0629.fits,,hst_12289_cos_j134719d40p590232d8_cg140l_lbhx_cspec.fits,hst_12289_cos_j134719d40p590232d8_cg140l_lbhx01_cspec.fits
J135559.88+260039.0,208.999508,26.01083966,0.851,SDSS,spec-6005-56090-0854.fits,,hst_12289_cos_j135559d88p260039d0_cg140l_lbhx_cspec.fits,hst_12289_cos_j135559d88p260039d0_cg140l_lbhx58_cspec.fits
J140819.59+603617.9,212.0816561,60.60498693,0.8011,SDSS,spec-0788-52338-0373.fits,,hst_12289_cos_j140819d59p603617d9_cg140l_lbhx_cspec.fits,hst_12289_cos_j140819d59p603617d9_cg140l_lbhx_cspec.fits
J141359.55+485120.7,213.4981772,48.85577394,0.9172,SDSS,spec-1671-53446-0024.fits,,hst_12289_cos_j141359d55p485120d7_cg140l_lbhx_cspec.fits,hst_12289_cos_j141359d55p485120d7_cg140l_lbhx85_cspec.fits
J141528.76-002633.2,213.8698661,-0.442557415,1.15508,SDSS,spec-0303-51615-0147.fits,,hst_12289_cos_j141528d76-002633d2_cg140l_lbhx_cspec.fits,hst_12289_cos_j141528d76-002633d2_cg140l_lbhx94_cspec.fits
J150420.99+543610.3,226.0874495,54.60285509,1.17131,SDSS,spec-0793-52370-0266.fits,,hst_12289_cos_j150420d99p543610d3_cg140l_lbhx_cspec.fits,hst_12289_cos_j150420d99p543610d3_cg140l_lbhx98_cspec.fits
J151006.75+034908.7,227.5281518,3.81912028,0.90638,SDSS,spec-0590-52057-0399.fits,,hst_12289_cos_j151006d75p034908d7_cg140l_lbhx_cspec.fits,hst_12289_cos_j151006d75p034908d7_cg140l_lbhx0h_cspec.fits
J151907.61+440424.5,229.7817135,44.07350029,0.78224,SDSS,spec-6048-56072-0952.fits,,hst_12289_cos_j151907d61p440424d5_cg140l_lbhx_cspec.fits,hst_12289_cos_j151907d61p440424d5_cg140l_lbhx67_cspec.fits
J152843.91+520517.7,232.1829903,52.08826988,1.23081,SDSS,spec-6714-56447-0322.fits,,hst_12289_cos_j152843d91p520517d7_cg140l_lbhx_cspec.fits,hst_12289_cos_j152843d91p520517d7_cg140l_lbhx42_cspec.fits
J153602.47+393207.0,234.0102847,39.53529542,0.78319,SDSS,spec-1680-53171-0313.fits,,hst_12289_cos_j153602d47p393207d0_cg140l_lbhx_cspec.fits,hst_12289_cos_j153602d47p393207d0_cg140l_lbhx74_cspec.fits
J155846.98+043802.6,239.6957655,4.634051037,1.20133,SDSS,spec-4808-55705-0400.fits,,hst_12289_cos_j155846d98p043802d6_cg140l_lbhx_cspec.fits,hst_12289_cos_j155846d98p043802d6_cg140l_lbhx62_cspec.fits
J234403.10+003804.2,356.01292,0.6345,1.237,SDSS,spec-4214-55451-0607.fits,,hst_12289_cos_j234403d10p003804d2_cg140l_lbhx89_cspec.fits,hst_12289_cos_j234403d10p003804d2_cg140l_lbhx_cspec.fits
J225541.64+145715.9,343.9235,14.95442,0.808,SDSS,spec-6140-56189-0518.fits,,hst_12289_cos_j225541d64p145715d9_cg140l_lbhx0s_cspec.fits,hst_12289_cos_j225541d64p145715d9_cg140l_lbhx_cspec.fits
J225350.09+140210.3,343.45871,14.03619,0.864,SDSS,spec-5045-56181-0962.fits,,hst_12289_cos_j225350d09p140210d3_cg140l_lbhx_cspec.fits,hst_12289_cos_j225350d09p140210d3_cg140l_lbhx1c_cspec.fits
J223817.26-093859.2,339.57192,-9.64978,0.843,SDSS,spec-0722-52224-0187.fits,,hst_12289_cos_j223817d26-093859d2_cg140l_lbhx_cspec.fits,hst_12289_cos_j223817d26-093859d2_cg140l_lbhx1o_cspec.fits
J214937.85+120546.1,327.40771,12.09614,0.795,SDSS,spec-0733-52207-0232.fits,,hst_12289_cos_j214937d85p120546d1_cg140l_lbhx1h_cspec.fits,hst_12289_cos_j214937d85p120546d1_cg140l_lbhx_cspec.fits
J171704.68+281400.4,259.2695,28.23344,1.076,SDSS,spec-0977-52410-0010.fits,,hst_12289_cos_j171704d68p281400d4_cg140l_lbhx09_cspec.fits,hst_12289_cos_j171704d68p281400d4_cg140l_lbhx_cspec.fits
J171654.20+302701.4,259.22583,30.45039,0.752,SDSS,spec-11654-58543-0199.fits,,hst_12289_cos_j171654d20p302701d4_cg140l_lbhx_cspec.fits,hst_12289_cos_j171654d20p302701d4_cg140l_lbhx95_cspec.fits
J170648.06+321422.8,256.70025,32.23967,1.069,SDSS,spec-0973-52426-0006.fits,,hst_12289_cos_j170648d06p321422d8_cg140l_lbhx_cspec.fits,hst_12289_cos_j170648d06p321422d8_cg140l_lbhx20_cspec.fits
J163156.13+435943.6,247.98388,43.99544,0.791,SDSS,spec-0626-52057-0155.fits,,hst_12289_cos_j163156d13p435943d6_cg140l_lbhx71_cspec.fits,hst_12289_cos_j163156d13p435943d6_cg140l_lbhx_cspec.fits
J160744.82+184648.2,241.93675,18.78006,1.081,SDSS,spec-4069-55365-0508.fits,,hst_12289_cos_j160744d82p184648d2_cg140l_lbhx_cspec.fits,hst_12289_cos_j160744d82p184648d2_cg140l_lbhx57_cspec.fits
J160500.55+353949.6,241.25229,35.66378,1.039,SDSS,spec-1682-53173-0144.fits,,hst_12289_cos_j160500d55p353949d6_cg140l_lbhx_cspec.fits,hst_12289_cos_j160500d55p353949d6_cg140l_lbhx0g_cspec.fits
